TV,Radio,Newspaper,Sales,Oven,Fan,AC,Projector,Heater,Table_Fan,Mobile_Phone,Laptop,Tab
250.9,36.5,72.3,22.2,92,259,200,192,217,60,41,244,31
107.4,14.0,10.9,11.5,83,165,95,255,150,140,25,222,194
163.3,31.6,52.9,16.9,161,71,205,21,109,94,255,119,32
197.6,3.5,5.9,16.7,96,133,113,241,58,65,299,191,120
184.9,21.0,22.0,20.5,110,257,215,277,195,292,208,166,142
289.7,42.3,51.2,25.4,290,42,274,279,192,214,238,68,292
135.2,41.7,45.9,17.2,257,235,121,223,137,208,230,66,156
222.4,4.3,49.8,16.7,229,183,76,273,210,256,277,256,250
296.4,36.3,100.9,23.8,110,55,12,155,177,126,50,25,64
280.2,10.1,21.4,19.8,105,253,160,165,145,127,58,107,274
187.9,17.2,17.9,19.7,189,55,58,228,51,270,139,289,90
238.2,34.3,5.3,20.7,105,33,229,162,74,145,236,97,27
137.9,46.4,59.0,15.0,98,299,168,146,62,66,133,202,72
25.0,11.0,29.7,7.2,108,102,180,57,142,27,6,273,151
90.4,0.3,23.2,12.0,206,146,41,49,233,147,141,74,64
13.1,0.4,25.6,5.3,177,214,252,216,201,210,262,27,274
255.4,26.9,5.5,19.8,203,39,251,10,280,103,170,175,46
225.8,8.2,56.5,18.4,75,5,157,140,42,105,231,276,200
241.7,38.0,23.2,21.8,35,26,226,269,196,170,185,245,270
175.7,15.4,2.4,17.1,299,89,255,243,9,45,6,300,283
209.6,20.6,10.7,20.9,200,130,37,22,203,185,139,285,121
78.2,46.8,34.5,14.6,279,163,157,19,161,10,39,256,231
75.1,35.0,52.7,12.6,209,33,220,4,249,226,210,49,60
139.2,14.3,25.6,12.2,3,26,292,290,24,24,232,227,185
76.4,0.8,14.8,9.4,246,8,62,281,209,265,255,160,95
125.7,36.9,79.2,15.9,261,200,125,222,294,188,263,103,210
19.4,16.0,22.3,6.6,263,174,263,126,203,284,122,94,204
141.3,26.8,46.2,15.5,6,68,154,208,40,145,70,211,232
18.8,21.7,50.4,7.0,270,137,43,241,13,202,71,251,36
224.0,2.4,15.6,16.6,34,27,196,241,21,127,154,133,144
123.1,34.6,12.4,15.2,296,75,253,180,61,298,104,106,226
229.5,32.3,74.2,19.7,118,43,199,167,81,123,123,64,53
87.2,11.8,25.9,10.6,198,91,189,26,12,128,229,167,80
7.8,38.9,50.6,6.6,1,27,211,125,119,175,92,16,51
80.2,0.0,9.2,11.9,80,182,254,69,99,276,15,133,212
220.3,49.0,3.2,24.7,22,38,293,130,78,86,271,35,184
59.6,12.0,43.1,9.7,53,236,51,265,128,220,292,187,73
0.7,39.6,8.7,1.6,231,213,21,243,295,134,229,191,235
265.2,2.9,43.0,17.7,14,67,248,76,225,266,295,192,119
8.4,27.2,2.1,5.7,85,170,255,281,183,45,190,40,188
219.8,33.5,45.1,19.6,104,276,137,135,86,28,17,298,59
36.9,38.6,65.6,10.8,204,38,296,135,68,17,102,141,95
48.3,47.0,8.5,11.6,123,31,79,81,17,19,128,181,258
25.6,39.0,9.3,9.5,46,133,9,86,106,138,232,52,33
273.7,28.9,59.7,20.8,38,127,93,44,261,190,275,262,135
43.0,25.9,20.5,9.6,244,182,94,287,288,156,4,54,20
184.9,43.9,1.7,20.7,206,25,30,124,299,184,55,139,129
73.4,17.0,12.9,10.9,244,150,12,138,5,284,79,300,232
193.7,35.4,75.6,19.2,88,262,21,50,69,0,240,214,265
220.5,33.2,37.9,20.1,12,54,87,11,159,42,8,265,249
104.6,5.7,34.4,10.4,176,177,159,148,151,298,197,198,74
96.2,14.8,38.9,12.3,36,101,151,168,184,279,164,63,191
140.3,1.9,9.0,10.3,164,242,168,39,246,4,15,293,24
240.1,7.3,8.7,18.2,0,135,100,39,95,191,1,214,293
243.2,49.0,44.3,25.4,298,267,85,247,38,228,275,186,104
38.0,40.3,11.9,10.9,250,254,291,177,53,178,284,152,35
44.7,25.8,20.6,10.1,131,75,207,184,234,280,54,24,10
280.7,13.9,37.0,16.1,72,210,25,96,252,293,79,146,69
121.0,8.4,48.7,11.6,244,244,95,108,271,40,219,75,165
197.6,23.3,14.2,16.6,206,56,201,7,17,76,157,113,195
171.3,39.7,37.7,16.0,20,71,150,265,107,241,213,75,176
187.8,21.1,9.5,20.6,300,48,214,149,287,244,145,235,33
4.1,11.6,5.7,3.2,280,270,47,149,25,22,32,158,167
93.9,43.5,50.5,15.3,219,57,14,151,45,79,106,167,191
149.8,1.3,24.3,10.1,96,127,121,266,263,162,195,201,36
11.7,36.9,45.2,7.3,95,152,1,113,50,103,151,22,69
131.7,18.4,34.6,12.9,183,51,209,295,17,97,260,156,277
172.5,18.1,30.7,16.4,218,55,295,10,205,95,48,215,166
85.7,35.8,49.3,13.3,25,200,248,148,166,118,191,250,207
188.4,18.1,25.6,19.9,210,127,52,168,121,106,250,17,110
163.5,36.8,7.4,18.0,117,206,61,146,33,126,222,280,268
117.2,14.7,5.4,11.9,121,164,63,169,189,183,119,101,48
234.5,3.4,84.8,16.9,283,108,140,28,298,29,19,188,172
17.9,37.6,21.6,8.0,154,187,220,105,159,229,278,234,178
206.8,5.2,19.4,17.2,84,122,147,162,103,136,245,243,166
215.4,23.6,57.6,17.1,208,46,46,189,270,276,152,32,111
284.3,10.6,6.4,20.0,219,190,242,274,281,102,189,243,38
50.0,11.6,18.4,8.4,24,226,164,27,281,141,215,155,4
164.5,20.9,47.4,17.5,165,8,133,240,16,135,107,23,22
19.6,20.1,17.0,7.6,174,233,2,141,127,49,257,39,139
168.4,7.1,12.8,16.7,142,127,112,81,88,39,182,44,208
222.4,3.4,13.1,16.5,273,14,6,114,133,48,131,234,262
276.9,48.9,41.8,27.0,112,192,1,284,278,37,110,137,236
248.4,30.2,20.3,20.2,17,17,14,135,129,216,226,113,16
170.2,7.8,35.2,16.7,258,67,219,279,259,98,243,182,150
276.7,2.3,23.7,16.8,73,150,128,180,146,286,211,119,251
165.6,10.0,17.6,17.6,300,86,230,153,263,279,237,49,254
156.6,2.6,8.3,15.5,282,260,256,214,15,75,127,171,174
218.5,5.4,27.4,17.2,87,177,6,101,224,218,20,220,131
56.2,5.7,29.7,8.7,231,63,191,134,30,27,227,198,78
287.6,43.0,71.8,26.2,280,167,111,126,201,15,193,24,292
253.8,21.3,30.0,17.6,227,67,73,54,49,212,206,200,23
205.0,45.1,19.6,22.6,28,20,40,4,93,268,81,225,233
139.5,2.1,26.6,10.3,179,43,20,128,279,57,216,225,118
191.1,28.7,18.2,17.3,238,267,170,51,78,155,231,123,279
286.0,13.9,3.7,20.9,112,158,16,48,77,201,298,182,295
18.7,12.1,23.4,6.7,65,208,76,158,25,124,9,27,206
39.5,41.1,5.8,10.8,191,101,236,37,153,172,139,143,204
75.5,10.8,6.0,11.9,182,96,208,37,256,198,129,47,160
17.2,4.1,31.6,5.9,284,92,265,54,283,216,82,30,72
166.8,42.0,3.6,19.6,271,295,275,31,42,253,243,0,111
149.7,35.6,6.0,17.3,27,20,246,202,93,240,92,193,191
38.2,3.7,13.8,7.6,112,51,278,81,176,5,279,12,2
94.2,4.9,8.1,14.0,127,125,241,131,259,35,30,71,222
177.0,9.3,6.4,14.8,113,122,76,147,90,263,74,251,233
283.6,42.0,66.2,25.5,268,135,114,187,140,239,283,106,8
232.1,8.6,8.7,18.4,14,100,119,165,108,273,136,87,53
